time,pair,type,price,amount,total,coin,quote,date,market_close,label_pump,n_exchanges,premium_pct
2017-01-25 18:34:11,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:10,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:09,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:08,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:07,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:06,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:05,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:04,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:03,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:02,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:01,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:34:00,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:33:59,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:33:58,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:33:57,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:33:56,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:33:56,AV/BTC,SELL,4.47e-06,1.0,4.47e-06,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:33:55,AV/BTC,SELL,4.47e-06,1.0,4.47e-06,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:33:55,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:33:54,AV/BTC,SELL,4.47e-06,1.0,4.47e-06,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:33:54,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:33:53,AV/BTC,SELL,4.47e-06,1.0,4.47e-06,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:33:53,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:33:52,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:33:52,AV/BTC,SELL,4.47e-06,1.0,4.47e-06,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:33:51,AV/BTC,SELL,4.47e-06,1.0,4.47e-06,AV,BTC,2017-01-25,,0.0,,
2017-01-25 18:33:51,AV/BTC,SELL,4.47e-06,0.0025,1e-08,AV,BTC,2017-01-25,,0.0,,
